,fueltype,aspiration,doornumber,carbody,drivewheel,enginetype,cylindernumber,fuelsystem,wheelbase,carlength,carwidth,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,price,CarsRange
17,gas,std,four,sedan,rwd,ohc,six,mpfi,110.0,197.0,70.9,3505,209,3.62,182,15,20,36880.0,Highend
18,gas,std,two,hatchback,fwd,l,three,2bbl,88.4,141.1,60.3,1488,61,2.91,48,47,53,5151.0,Budget
19,gas,std,two,hatchback,fwd,ohc,four,2bbl,94.5,155.9,63.6,1874,90,3.03,70,38,43,6295.0,Budget
20,gas,std,four,sedan,fwd,ohc,four,2bbl,94.5,158.8,63.6,1909,90,3.03,70,38,43,6575.0,Budget
21,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.7,157.3,63.8,1876,90,2.97,68,37,41,5572.0,Budget
22,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.7,157.3,63.8,1876,90,2.97,68,31,38,6377.0,Budget
23,gas,turbo,two,hatchback,fwd,ohc,four,mpfi,93.7,157.3,63.8,2128,98,3.03,102,24,30,7957.0,Budget
24,gas,std,four,hatchback,fwd,ohc,four,2bbl,93.7,157.3,63.8,1967,90,2.97,68,31,38,6229.0,Budget
25,gas,std,four,sedan,fwd,ohc,four,2bbl,93.7,157.3,63.8,1989,90,2.97,68,31,38,6692.0,Budget
26,gas,std,four,sedan,fwd,ohc,four,2bbl,93.7,157.3,63.8,1989,90,2.97,68,31,38,7609.0,Budget
27,gas,turbo,two,sedan,fwd,ohc,four,mpfi,93.7,157.3,63.8,2191,98,3.03,102,24,30,8558.0,Budget
28,gas,std,four,wagon,fwd,ohc,four,2bbl,103.3,174.6,64.6,2535,122,3.34,88,24,30,8921.0,Budget
29,gas,turbo,two,hatchback,fwd,ohc,four,mfi,95.9,173.2,66.3,2811,156,3.6,145,19,24,12964.0,Budget
30,gas,std,two,hatchback,fwd,ohc,four,1bbl,86.6,144.6,63.9,1713,92,2.91,58,49,54,6479.0,Budget
31,gas,std,two,hatchback,fwd,ohc,four,1bbl,86.6,144.6,63.9,1819,92,2.91,76,31,38,6855.0,Budget
32,gas,std,two,hatchback,fwd,ohc,four,1bbl,93.7,150.0,64.0,1837,79,2.91,60,38,42,5399.0,Budget
33,gas,std,two,hatchback,fwd,ohc,four,1bbl,93.7,150.0,64.0,1940,92,2.91,76,30,34,6529.0,Budget
34,gas,std,two,hatchback,fwd,ohc,four,1bbl,93.7,150.0,64.0,1956,92,2.91,76,30,34,7129.0,Budget
35,gas,std,four,sedan,fwd,ohc,four,1bbl,96.5,163.4,64.0,2010,92,2.91,76,30,34,7295.0,Budget
36,gas,std,four,wagon,fwd,ohc,four,1bbl,96.5,157.1,63.9,2024,92,2.92,76,30,34,7295.0,Budget
37,gas,std,two,hatchback,fwd,ohc,four,1bbl,96.5,167.5,65.2,2236,110,3.15,86,27,33,7895.0,Budget
38,gas,std,two,hatchback,fwd,ohc,four,1bbl,96.5,167.5,65.2,2289,110,3.15,86,27,33,9095.0,Budget
39,gas,std,four,sedan,fwd,ohc,four,1bbl,96.5,175.4,65.2,2304,110,3.15,86,27,33,8845.0,Budget
40,gas,std,four,sedan,fwd,ohc,four,1bbl,96.5,175.4,62.5,2372,110,3.15,86,27,33,10295.0,Budget
41,gas,std,four,sedan,fwd,ohc,four,mpfi,96.5,175.4,65.2,2465,110,3.15,101,24,28,12945.0,Budget
42,gas,std,two,sedan,fwd,ohc,four,2bbl,96.5,169.1,66.0,2293,110,3.15,100,25,31,10345.0,Budget
43,gas,std,four,sedan,rwd,ohc,four,2bbl,94.3,170.7,61.8,2337,111,3.31,78,24,29,6785.0,Budget
44,gas,std,two,sedan,fwd,ohc,four,2bbl,94.5,155.9,63.6,1874,90,3.03,70,38,43,8916.5,Budget
45,gas,std,four,sedan,fwd,ohc,four,2bbl,94.5,155.9,63.6,1909,90,3.03,70,38,43,8916.5,Budget
46,gas,std,two,hatchback,rwd,ohc,four,spfi,96.0,172.6,65.2,2734,119,3.43,90,24,29,11048.0,Budget
47,gas,std,four,sedan,rwd,dohc,six,mpfi,113.0,199.6,69.6,4066,258,3.63,176,15,19,32250.0,Highend
48,gas,std,four,sedan,rwd,dohc,six,mpfi,113.0,199.6,69.6,4066,258,3.63,176,15,19,35550.0,Highend
49,gas,std,two,sedan,rwd,ohcv,twelve,mpfi,102.0,191.7,70.6,3950,326,3.54,262,13,17,36000.0,Highend
50,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.1,159.1,64.2,1890,91,3.03,68,30,31,5195.0,Medium
51,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.1,159.1,64.2,1900,91,3.03,68,31,38,6095.0,Medium
52,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.1,159.1,64.2,1905,91,3.03,68,31,38,6795.0,Medium
53,gas,std,four,sedan,fwd,ohc,four,2bbl,93.1,166.8,64.2,1945,91,3.03,68,31,38,6695.0,Medium
54,gas,std,four,sedan,fwd,ohc,four,2bbl,93.1,166.8,64.2,1950,91,3.08,68,31,38,7395.0,Medium
55,gas,std,two,hatchback,rwd,rotor,two,4bbl,95.3,169.0,65.7,2380,70,3.33,101,17,23,10945.0,Medium
56,gas,std,two,hatchback,rwd,rotor,two,4bbl,95.3,169.0,65.7,2380,70,3.33,101,17,23,11845.0,Medium
57,gas,std,two,hatchback,rwd,rotor,two,4bbl,95.3,169.0,65.7,2385,70,3.33,101,17,23,13645.0,Medium
58,gas,std,two,hatchback,rwd,rotor,two,mpfi,95.3,169.0,65.7,2500,80,3.33,135,16,23,15645.0,Medium
59,gas,std,two,hatchback,fwd,ohc,four,2bbl,98.8,177.8,66.5,2385,122,3.39,84,26,32,8845.0,Medium
60,gas,std,four,sedan,fwd,ohc,four,2bbl,98.8,177.8,66.5,2410,122,3.39,84,26,32,8495.0,Medium
61,gas,std,two,hatchback,fwd,ohc,four,2bbl,98.8,177.8,66.5,2385,122,3.39,84,26,32,10595.0,Medium
62,gas,std,four,sedan,fwd,ohc,four,2bbl,98.8,177.8,66.5,2410,122,3.39,84,26,32,10245.0,Medium
63,diesel,std,four,sedan,fwd,ohc,four,idi,98.8,177.8,66.5,2443,122,3.39,64,36,42,10795.0,Medium
64,gas,std,four,hatchback,fwd,ohc,four,2bbl,98.8,177.8,66.5,2425,122,3.39,84,26,32,11245.0,Medium
65,gas,std,four,sedan,rwd,ohc,four,mpfi,104.9,175.0,66.1,2670,140,3.76,120,19,27,18280.0,Medium
66,diesel,std,four,sedan,rwd,ohc,four,idi,104.9,175.0,66.1,2700,134,3.43,72,31,39,18344.0,Medium
67,diesel,turbo,four,sedan,rwd,ohc,five,idi,110.0,190.9,70.3,3515,183,3.58,123,22,25,25552.0,Highend
68,diesel,turbo,four,wagon,rwd,ohc,five,idi,110.0,190.9,70.3,3750,183,3.58,123,22,25,28248.0,Highend
69,diesel,turbo,two,hardtop,rwd,ohc,five,idi,106.7,187.5,70.3,3495,183,3.58,123,22,25,28176.0,Highend
70,diesel,turbo,four,sedan,rwd,ohc,five,idi,115.6,202.6,71.7,3770,183,3.58,123,22,25,31600.0,Highend
71,gas,std,four,sedan,rwd,ohcv,eight,mpfi,115.6,202.6,71.7,3740,234,3.46,155,16,18,34184.0,Highend
72,gas,std,two,convertible,rwd,ohcv,eight,mpfi,96.6,180.3,70.5,3685,234,3.46,155,16,18,35056.0,Highend
73,gas,std,four,sedan,rwd,ohcv,eight,mpfi,120.9,208.1,71.7,3900,308,3.8,184,14,16,40960.0,Highend
74,gas,std,two,hardtop,rwd,ohcv,eight,mpfi,112.0,199.2,72.0,3715,304,3.8,184,14,16,45400.0,Highend
75,gas,turbo,two,hatchback,rwd,ohc,four,mpfi,102.7,178.4,68.0,2910,140,3.78,175,19,24,16503.0,Medium
76,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.7,157.3,64.4,1918,92,2.97,68,37,41,5389.0,Budget
77,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.7,157.3,64.4,1944,92,2.97,68,31,38,6189.0,Budget
78,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.7,157.3,64.4,2004,92,2.97,68,31,38,6669.0,Budget
79,gas,turbo,two,hatchback,fwd,ohc,four,spdi,93.0,157.3,63.8,2145,98,3.03,102,24,30,7689.0,Budget
80,gas,turbo,two,hatchback,fwd,ohc,four,spdi,96.3,173.0,65.4,2370,110,3.17,116,23,30,9959.0,Budget
81,gas,std,two,hatchback,fwd,ohc,four,2bbl,96.3,173.0,65.4,2328,122,3.35,88,25,32,8499.0,Budget
82,gas,turbo,two,hatchback,fwd,ohc,four,spdi,95.9,173.2,66.3,2833,156,3.58,145,19,24,12629.0,Budget
83,gas,turbo,two,hatchback,fwd,ohc,four,spdi,95.9,173.2,66.3,2921,156,3.59,145,19,24,14869.0,Budget
84,gas,turbo,two,hatchback,fwd,ohc,four,spdi,95.9,173.2,66.3,2926,156,3.59,145,19,24,14489.0,Budget
85,gas,std,four,sedan,fwd,ohc,four,2bbl,96.3,172.4,65.4,2365,122,3.35,88,25,32,6989.0,Budget
86,gas,std,four,sedan,fwd,ohc,four,2bbl,96.3,172.4,65.4,2405,122,3.35,88,25,32,8189.0,Budget
87,gas,turbo,four,sedan,fwd,ohc,four,spdi,96.3,172.4,65.4,2403,110,3.17,116,23,30,9279.0,Budget
88,gas,std,four,sedan,fwd,ohc,four,spdi,96.3,172.4,65.4,2403,110,3.17,116,23,30,9279.0,Budget
89,gas,std,two,sedan,fwd,ohc,four,2bbl,94.5,165.3,63.8,1889,97,3.15,69,31,37,5499.0,Budget
90,diesel,std,two,sedan,fwd,ohc,four,idi,94.5,165.3,63.8,2017,103,2.99,55,45,50,7099.0,Medium
91,gas,std,two,sedan,fwd,ohc,four,2bbl,94.5,165.3,63.8,1918,97,3.15,69,31,37,6649.0,Medium
92,gas,std,four,sedan,fwd,ohc,four,2bbl,94.5,165.3,63.8,1938,97,3.15,69,31,37,6849.0,Medium
93,gas,std,four,wagon,fwd,ohc,four,2bbl,94.5,170.2,63.8,2024,97,3.15,69,31,37,7349.0,Medium
94,gas,std,two,sedan,fwd,ohc,four,2bbl,94.5,165.3,63.8,1951,97,3.15,69,31,37,7299.0,Medium
95,gas,std,two,hatchback,fwd,ohc,four,2bbl,94.5,165.6,63.8,2028,97,3.15,69,31,37,7799.0,Medium
96,gas,std,four,sedan,fwd,ohc,four,2bbl,94.5,165.3,63.8,1971,97,3.15,69,31,37,7499.0,Medium
97,gas,std,four,wagon,fwd,ohc,four,2bbl,94.5,170.2,63.8,2037,97,3.15,69,31,37,7999.0,Medium
98,gas,std,two,hardtop,fwd,ohc,four,2bbl,95.1,162.4,63.8,2008,97,3.15,69,31,37,8249.0,Medium
99,gas,std,four,hatchback,fwd,ohc,four,2bbl,97.2,173.4,65.2,2324,120,3.33,97,27,34,8949.0,Medium
100,gas,std,four,sedan,fwd,ohc,four,2bbl,97.2,173.4,65.2,2302,120,3.33,97,27,34,9549.0,Medium
101,gas,std,four,sedan,fwd,ohcv,six,mpfi,100.4,181.7,66.5,3095,181,3.43,152,17,22,13499.0,Medium
102,gas,std,four,wagon,fwd,ohcv,six,mpfi,100.4,184.6,66.5,3296,181,3.43,152,17,22,14399.0,Medium
103,gas,std,four,sedan,fwd,ohcv,six,mpfi,100.4,184.6,66.5,3060,181,3.43,152,19,25,13499.0,Medium
104,gas,std,two,hatchback,rwd,ohcv,six,mpfi,91.3,170.7,67.9,3071,181,3.43,160,19,25,17199.0,Medium
105,gas,turbo,two,hatchback,rwd,ohcv,six,mpfi,91.3,170.7,67.9,3139,181,3.43,200,17,23,19699.0,Medium
106,gas,std,two,hatchback,rwd,ohcv,six,mpfi,99.2,178.5,67.9,3139,181,3.43,160,19,25,18399.0,Medium
107,gas,std,four,sedan,rwd,l,four,mpfi,107.9,186.7,68.4,3020,120,3.46,97,19,24,11900.0,Medium
108,diesel,turbo,four,sedan,rwd,l,four,idi,107.9,186.7,68.4,3197,152,3.7,95,28,33,13200.0,Medium
109,gas,std,four,wagon,rwd,l,four,mpfi,114.2,198.9,68.4,3230,120,3.46,97,19,24,12440.0,Medium
110,diesel,turbo,four,wagon,rwd,l,four,idi,114.2,198.9,68.4,3430,152,3.7,95,25,25,13860.0,Medium
111,gas,std,four,sedan,rwd,l,four,mpfi,107.9,186.7,68.4,3075,120,3.46,95,19,24,15580.0,Medium
112,diesel,turbo,four,sedan,rwd,l,four,idi,107.9,186.7,68.4,3252,152,3.7,95,28,33,16900.0,Medium
113,gas,std,four,wagon,rwd,l,four,mpfi,114.2,198.9,68.4,3285,120,3.46,95,19,24,16695.0,Medium
114,diesel,turbo,four,wagon,rwd,l,four,idi,114.2,198.9,68.4,3485,152,3.7,95,25,25,17075.0,Medium
115,gas,std,four,sedan,rwd,l,four,mpfi,107.9,186.7,68.4,3075,120,3.46,97,19,24,16630.0,Medium
116,diesel,turbo,four,sedan,rwd,l,four,idi,107.9,186.7,68.4,3252,152,3.7,95,28,33,17950.0,Medium
117,gas,turbo,four,sedan,rwd,l,four,mpfi,108.0,186.7,68.3,3130,134,3.61,142,18,24,18150.0,Medium
118,gas,std,two,hatchback,fwd,ohc,four,2bbl,93.7,157.3,63.8,1918,90,2.97,68,37,41,5572.0,Budget
119,gas,turbo,two,hatchback,fwd,ohc,four,spdi,93.7,157.3,63.8,2128,98,3.03,102,24,30,7957.0,Budget
120,gas,std,four,hatchback,fwd,ohc,four,2bbl,93.7,157.3,63.8,1967,90,2.97,68,31,38,6229.0,Budget
121,gas,std,four,sedan,fwd,ohc,four,2bbl,93.7,167.3,63.8,1989,90,2.97,68,31,38,6692.0,Budget
122,gas,std,four,sedan,fwd,ohc,four,2bbl,93.7,167.3,63.8,2191,98,2.97,68,31,38,7609.0,Budget
123,gas,std,four,wagon,fwd,ohc,four,2bbl,103.3,174.6,64.6,2535,122,3.35,88,24,30,8921.0,Budget
124,gas,turbo,two,hatchback,rwd,ohc,four,spdi,95.9,173.2,66.3,2818,156,3.59,145,19,24,12764.0,Budget
125,gas,std,two,hatchback,rwd,ohc,four,mpfi,94.5,168.9,68.3,2778,151,3.94,143,19,27,22018.0,Highend
126,gas,std,two,hardtop,rwd,ohcf,six,mpfi,89.5,168.9,65.0,2756,194,3.74,207,17,25,32528.0,Highend
127,gas,std,two,hardtop,rwd,ohcf,six,mpfi,89.5,168.9,65.0,2756,194,3.74,207,17,25,34028.0,Highend
128,gas,std,two,convertible,rwd,ohcf,six,mpfi,89.5,168.9,65.0,2800,194,3.74,207,17,25,37028.0,Highend
129,gas,std,two,hatchback,rwd,dohcv,eight,mpfi,98.4,175.7,72.3,3366,203,3.94,288,17,28,31400.5,Highend
130,gas,std,four,wagon,fwd,ohc,four,mpfi,96.1,181.5,66.5,2579,132,3.46,90,23,31,9295.0,Budget
131,gas,std,two,hatchback,fwd,ohc,four,mpfi,96.1,176.8,66.6,2460,132,3.46,90,23,31,9895.0,Budget
132,gas,std,two,hatchback,fwd,ohc,four,mpfi,99.1,186.6,66.5,2658,121,3.54,110,21,28,11850.0,Medium
133,gas,std,four,sedan,fwd,ohc,four,mpfi,99.1,186.6,66.5,2695,121,3.54,110,21,28,12170.0,Medium
134,gas,std,two,hatchback,fwd,ohc,four,mpfi,99.1,186.6,66.5,2707,121,2.54,110,21,28,15040.0,Medium
135,gas,std,four,sedan,fwd,ohc,four,mpfi,99.1,186.6,66.5,2758,121,3.54,110,21,28,15510.0,Medium
136,gas,turbo,two,hatchback,fwd,dohc,four,mpfi,99.1,186.6,66.5,2808,121,3.54,160,19,26,18150.0,Medium
137,gas,turbo,four,sedan,fwd,dohc,four,mpfi,99.1,186.6,66.5,2847,121,3.54,160,19,26,18620.0,Medium
138,gas,std,two,hatchback,fwd,ohcf,four,2bbl,93.7,156.9,63.4,2050,97,3.62,69,31,36,5118.0,Budget
139,gas,std,two,hatchback,fwd,ohcf,four,2bbl,93.7,157.9,63.6,2120,108,3.62,73,26,31,7053.0,Budget
140,gas,std,two,hatchback,4wd,ohcf,four,2bbl,93.3,157.3,63.8,2240,108,3.62,73,26,31,7603.0,Budget
141,gas,std,four,sedan,fwd,ohcf,four,2bbl,97.2,172.0,65.4,2145,108,3.62,82,32,37,7126.0,Budget
142,gas,std,four,sedan,fwd,ohcf,four,2bbl,97.2,172.0,65.4,2190,108,3.62,82,28,33,7775.0,Budget
143,gas,std,four,sedan,fwd,ohcf,four,mpfi,97.2,172.0,65.4,2340,108,3.62,94,26,32,9960.0,Budget
144,gas,std,four,sedan,4wd,ohcf,four,2bbl,97.0,172.0,65.4,2385,108,3.62,82,24,25,9233.0,Budget
145,gas,turbo,four,sedan,4wd,ohcf,four,mpfi,97.0,172.0,65.4,2510,108,3.62,111,24,29,11259.0,Budget
146,gas,std,four,wagon,fwd,ohcf,four,2bbl,97.0,173.5,65.4,2290,108,3.62,82,28,32,7463.0,Budget
147,gas,std,four,wagon,fwd,ohcf,four,mpfi,97.0,173.5,65.4,2455,108,3.62,94,25,31,10198.0,Budget
148,gas,std,four,wagon,4wd,ohcf,four,2bbl,96.9,173.6,65.4,2420,108,3.62,82,23,29,8013.0,Budget
149,gas,turbo,four,wagon,4wd,ohcf,four,mpfi,96.9,173.6,65.4,2650,108,3.62,111,23,23,11694.0,Budget
150,gas,std,two,hatchback,fwd,ohc,four,2bbl,95.7,158.7,63.6,1985,92,3.05,62,35,39,5348.0,Budget
151,gas,std,two,hatchback,fwd,ohc,four,2bbl,95.7,158.7,63.6,2040,92,3.05,62,31,38,6338.0,Budget
152,gas,std,four,hatchback,fwd,ohc,four,2bbl,95.7,158.7,63.6,2015,92,3.05,62,31,38,6488.0,Budget
153,gas,std,four,wagon,fwd,ohc,four,2bbl,95.7,169.7,63.6,2280,92,3.05,62,31,37,6918.0,Budget
154,gas,std,four,wagon,4wd,ohc,four,2bbl,95.7,169.7,63.6,2290,92,3.05,62,27,32,7898.0,Budget
155,gas,std,four,wagon,4wd,ohc,four,2bbl,95.7,169.7,63.6,3110,92,3.05,62,27,32,8778.0,Budget
156,gas,std,four,sedan,fwd,ohc,four,2bbl,95.7,166.3,64.4,2081,98,3.19,70,30,37,6938.0,Budget
157,gas,std,four,hatchback,fwd,ohc,four,2bbl,95.7,166.3,64.4,2109,98,3.19,70,30,37,7198.0,Budget
158,diesel,std,four,sedan,fwd,ohc,four,idi,95.7,166.3,64.4,2275,110,3.27,56,34,36,7898.0,Budget
159,diesel,std,four,hatchback,fwd,ohc,four,idi,95.7,166.3,64.4,2275,110,3.27,56,38,47,7788.0,Budget
160,gas,std,four,sedan,fwd,ohc,four,2bbl,95.7,166.3,64.4,2094,98,3.19,70,38,47,7738.0,Budget
161,gas,std,four,hatchback,fwd,ohc,four,2bbl,95.7,166.3,64.4,2122,98,3.19,70,28,34,8358.0,Budget
162,gas,std,four,sedan,fwd,ohc,four,2bbl,95.7,166.3,64.4,2140,98,3.19,70,28,34,9258.0,Budget
163,gas,std,two,sedan,rwd,ohc,four,2bbl,94.5,168.7,64.0,2169,98,3.19,70,29,34,8058.0,Budget
164,gas,std,two,hatchback,rwd,ohc,four,2bbl,94.5,168.7,64.0,2204,98,3.19,70,29,34,8238.0,Budget
165,gas,std,two,sedan,rwd,dohc,four,mpfi,94.5,168.7,64.0,2265,98,3.24,112,26,29,9298.0,Budget
166,gas,std,two,hatchback,rwd,dohc,four,mpfi,94.5,168.7,64.0,2300,98,3.24,112,26,29,9538.0,Budget
167,gas,std,two,hardtop,rwd,ohc,four,mpfi,98.4,176.2,65.6,2540,146,3.62,116,24,30,8449.0,Budget
168,gas,std,two,hardtop,rwd,ohc,four,mpfi,98.4,176.2,65.6,2536,146,3.62,116,24,30,9639.0,Budget
169,gas,std,two,hatchback,rwd,ohc,four,mpfi,98.4,176.2,65.6,2551,146,3.62,116,24,30,9989.0,Budget
170,gas,std,two,hardtop,rwd,ohc,four,mpfi,98.4,176.2,65.6,2679,146,3.62,116,24,30,11199.0,Budget
171,gas,std,two,hatchback,rwd,ohc,four,mpfi,98.4,176.2,65.6,2714,146,3.62,116,24,30,11549.0,Budget
172,gas,std,two,convertible,rwd,ohc,four,mpfi,98.4,176.2,65.6,2975,146,3.62,116,24,30,17669.0,Budget
173,gas,std,four,sedan,fwd,ohc,four,mpfi,102.4,175.6,66.5,2326,122,3.31,92,29,34,8948.0,Budget
174,diesel,turbo,four,sedan,fwd,ohc,four,idi,102.4,175.6,66.5,2480,110,3.27,73,30,33,10698.0,Budget
175,gas,std,four,hatchback,fwd,ohc,four,mpfi,102.4,175.6,66.5,2414,122,3.31,92,27,32,9988.0,Budget
176,gas,std,four,sedan,fwd,ohc,four,mpfi,102.4,175.6,66.5,2414,122,3.31,92,27,32,10898.0,Budget
177,gas,std,four,hatchback,fwd,ohc,four,mpfi,102.4,175.6,66.5,2458,122,3.31,92,27,32,11248.0,Budget
178,gas,std,two,hatchback,rwd,dohc,six,mpfi,102.9,183.5,67.7,2976,171,3.27,161,20,24,16558.0,Budget
179,gas,std,two,hatchback,rwd,dohc,six,mpfi,102.9,183.5,67.7,3016,171,3.27,161,19,24,15998.0,Budget
180,gas,std,four,sedan,rwd,dohc,six,mpfi,104.5,187.8,66.5,3131,171,3.27,156,20,24,15690.0,Budget
181,gas,std,four,wagon,rwd,dohc,six,mpfi,104.5,187.8,66.5,3151,161,3.27,156,19,24,15750.0,Budget
182,diesel,std,two,sedan,fwd,ohc,four,idi,97.3,171.7,65.5,2261,97,3.01,52,37,46,7775.0,Medium
183,gas,std,two,sedan,fwd,ohc,four,mpfi,97.3,171.7,65.5,2209,109,3.19,85,27,34,7975.0,Medium
184,diesel,std,four,sedan,fwd,ohc,four,idi,97.3,171.7,65.5,2264,97,3.01,52,37,46,7995.0,Medium
185,gas,std,four,sedan,fwd,ohc,four,mpfi,97.3,171.7,65.5,2212,109,3.19,85,27,34,8195.0,Medium
186,gas,std,four,sedan,fwd,ohc,four,mpfi,97.3,171.7,65.5,2275,109,3.19,85,27,34,8495.0,Medium
187,diesel,turbo,four,sedan,fwd,ohc,four,idi,97.3,171.7,65.5,2319,97,3.01,68,37,42,9495.0,Medium
188,gas,std,four,sedan,fwd,ohc,four,mpfi,97.3,171.7,65.5,2300,109,3.19,100,26,32,9995.0,Medium
189,gas,std,two,convertible,fwd,ohc,four,mpfi,94.5,159.3,64.2,2254,109,3.19,90,24,29,11595.0,Medium
190,gas,std,two,hatchback,fwd,ohc,four,mpfi,94.5,165.7,64.0,2221,109,3.19,90,24,29,9980.0,Medium
191,gas,std,four,sedan,fwd,ohc,five,mpfi,100.4,180.2,66.9,2661,136,3.19,110,19,24,13295.0,Medium
192,diesel,turbo,four,sedan,fwd,ohc,four,idi,100.4,180.2,66.9,2579,97,3.01,68,33,38,13845.0,Medium
193,gas,std,four,wagon,fwd,ohc,four,mpfi,100.4,183.1,66.9,2563,109,3.19,88,25,31,12290.0,Medium
194,gas,std,four,sedan,rwd,ohc,four,mpfi,104.3,188.8,67.2,2912,141,3.78,114,23,28,12940.0,Medium
195,gas,std,four,wagon,rwd,ohc,four,mpfi,104.3,188.8,67.2,3034,141,3.78,114,23,28,13415.0,Medium
196,gas,std,four,sedan,rwd,ohc,four,mpfi,104.3,188.8,67.2,2935,141,3.78,114,24,28,15985.0,Medium
197,gas,std,four,wagon,rwd,ohc,four,mpfi,104.3,188.8,67.2,3042,141,3.78,114,24,28,16515.0,Medium
198,gas,turbo,four,sedan,rwd,ohc,four,mpfi,104.3,188.8,67.2,3045,130,3.62,162,17,22,18420.0,Medium
199,gas,turbo,four,wagon,rwd,ohc,four,mpfi,104.3,188.8,67.2,3157,130,3.62,162,17,22,18950.0,Medium
200,gas,std,four,sedan,rwd,ohc,four,mpfi,109.1,188.8,68.9,2952,141,3.78,114,23,28,16845.0,Medium
201,gas,turbo,four,sedan,rwd,ohc,four,mpfi,109.1,188.8,68.8,3049,141,3.78,160,19,25,19045.0,Medium
202,gas,std,four,sedan,rwd,ohcv,six,mpfi,109.1,188.8,68.9,3012,173,3.58,134,18,23,21485.0,Medium
203,diesel,turbo,four,sedan,rwd,ohc,six,idi,109.1,188.8,68.9,3217,145,3.01,106,26,27,22470.0,Medium
204,gas,turbo,four,sedan,rwd,ohc,four,mpfi,109.1,188.8,68.9,3062,141,3.78,114,19,25,22625.0,Medium
